Price,Catergory,Model,Brand,Name,1,2,3,4
480000,Nguồn Segotep,,Segotep,Segotep Q5-350W,350,,,
1350000,Nguồn Segotep,,Segotep,Segotep RP550 Plus,550,,,
650000,Nguồn Segotep,,Segotep,Segotep S7-400W,400,,,
550000,Nguồn Segotep,,Segotep,Segotep S7GT-400W,400,,,
720000,Nguồn Segotep,,Segotep,Segotep S7GT-450W,450,,,
1390000,Nguồn Segotep,,Segotep,Segotep SG-700ZXW,700,,,
550000,Nguồn Segotep,,Segotep,Segotep SG-M350,350,,,
299000,Nguồn Segotep,Segotep SP500,Segotep,Segotep SP500 ,500,,,
299000,Nguồn Segotep,Segotep SP500,Segotep,Segotep SP550,550,,,
319000,Nguồn Huntkey,,Huntkey,Huntkey 250W (Fan8cm),250,,,
359000,Nguồn Huntkey,,Huntkey,Huntkey 300W fan 12 ( HK300-51AP ),300,,,
420000,Nguồn Huntkey,,Huntkey,Huntkey 325w – fan 12 (CP325HP),325,,,
390000,Nguồn Huntkey,,Huntkey,Huntkey 325w – fan 8 (CP325P),325,,,
610000,Nguồn Huntkey,,Huntkey,Huntkey Balance King 3500 (retail box),350,,,
395000,Nguồn Huntkey,,Huntkey,Huntkey CP-350 Fan 8cm,350,,,
425000,Nguồn Huntkey,,Huntkey,Huntkey CP-350H Fan 12cm,350,,,
510000,Nguồn Huntkey,,Huntkey,Huntkey CP-400H (Fan 12cm),400,,,
620000,Nguồn Huntkey,,Huntkey,Huntkey CP-450H Fan 12 cm,450,,,
950000,Nguồn Huntkey,,Huntkey,Huntkey GAMER STAR 550 - GS550 (A.PFC- Fan 12cm),550,,,
850000,Nguồn Huntkey,,Huntkey,Huntkey Green Power 500W LW6500HG,500,,,
820000,Nguồn Huntkey,,Huntkey,Huntkey Green Power 550 - LW6550HG (BOX- Fan 12cm),550,,,
920000,Nguồn Huntkey,,Huntkey,Huntkey HK500-52APActive PFC (retail box),500,,,
1120000,Nguồn Huntkey,,Huntkey,Huntkey HK600-53AP Active PFC (retail box),600,,,
1375000,Nguồn Huntkey,,Huntkey,Huntkey HK700-52PP Active PFC (retail box),700,,,
1050000,Nguồn Huntkey,,Huntkey,Huntkey Jumper 450B 80Plus Bronze (retail box),450,,,
6250000,Nguồn Huntkey,,Huntkey,Huntkey X7 1200 80Plus Silver (retail box),1200,,,
2920000,Nguồn Huntkey,,Huntkey,Huntkey X7 900 80Plus Silver (retail box),900,,,
640000,Nguồn Thermaltake,,Thermaltake,Thermaltake Litepower 350W (LT-350CEU),350,,,
540000,Nguồn Thermaltake,,Thermaltake,Thermaltake Litepower 350W (W0422EU),350,,,
750000,Nguồn Thermaltake,,Thermaltake,Thermaltake Litepower 400W,400,,,
750000,Nguồn Thermaltake,,Thermaltake,Thermaltake Litepower 430W (W0311RE),430,,,
720000,Nguồn Thermaltake,,Thermaltake,Thermaltake Litepower 450W (W0423RE),450,,,
1150000,Nguồn Thermaltake,,Thermaltake,Thermaltake Litepower 500W (LT-500),500,,,
1190000,Nguồn Thermaltake,,Thermaltake,Thermaltake Litepower 500W A.PFC (LT-500P) ,500,,,
1390000,Nguồn Thermaltake,,Thermaltake,Thermaltake Litepower 600W A.PFC (LT-600P),600,,,
1690000,Nguồn Thermaltake,,Thermaltake,Thermaltake Litepower 700W A.PFC (LT-700P),700,,,
1500000,Nguồn Thermaltake,,Thermaltake,Thermaltake SMART 530W (SP-530PCWEU),530,,,
1800000,Nguồn Thermaltake,,Thermaltake,Thermaltake SMART 630W (SP-630P),630,,,
2150000,Nguồn Thermaltake,,Thermaltake,Thermaltake SMART 730W (SP-730P),730,,,
2090000,Nguồn Thermaltake,,Thermaltake,Thermaltake SMART MODULE 550W (SP-550M),550,,,
2550000,Nguồn Thermaltake,,Thermaltake,Thermaltake SMART MODULE 650W (SP-650M),650,,,
4350000,Nguồn Thermaltake,,Thermaltake,Thermaltake ToughPower 1000W GOLD Modular,1000,,,
2200000,Nguồn Thermaltake,,Thermaltake,Thermaltake ToughPower 650W GOLD,650,,,
3250000,Nguồn Thermaltake,,Thermaltake,Thermaltake Toughpower DPS G RGB 650W Gold ,650,,,
3750000,Nguồn Thermaltake,,Thermaltake,Thermaltake Toughpower DPS G RGB 750W Gold ,750,,,
4250000,Nguồn Thermaltake,,Thermaltake,Thermaltake Toughpower DPS G RGB 850W Gold ,850,,,
5600000,Nguồn Thermaltake,,Thermaltake,Thermaltake ToughPower Grand 1050W(TPG-1050M),1050,,,
6250000,Nguồn Thermaltake,,Thermaltake,Thermaltake ToughPower Grand 1200W(TPG-1200M),1200,,,
2520000,Nguồn Thermaltake,,Thermaltake,Thermaltake Toughpower TP - 750 Gold,750,,,
6250000,Nguồn Thermaltake,,Thermaltake,Thermaltake ToughPower XT 1275W Platinum (TPX-1275M),1275,,,
6990000,Nguồn Thermaltake,,Thermaltake,Thermaltake ToughPower XT 1375W Gold (TPX-1375M),375,,,
7550000,Nguồn Thermaltake,,Thermaltake,Thermaltake ToughPower XT 1475W Gold (TPX-1475M),475,,,
0,Nguồn Thermaltake,,Thermaltake,Thermaltake TR2 450W A.PFC 80Plus Bronze (TR2-450P),450,,,
1400000,Nguồn Thermaltake,,Thermaltake,Thermaltake TR2 500W A.PFC 80Plus Bronze (TR2-500P),500,,,
1650000,Nguồn Thermaltake,,Thermaltake,Thermaltake TR2 600W A.PFC 80Plus Bronze (TR2-600P),600,,,
2050000,Nguồn Thermaltake,,Thermaltake,Thermaltake SMART SE730W SPS-730MPCBEU,730,,,
2950000,Nguồn Seasonic,,Seasonic,Seasonic G-750 SSR 750RM - 80Plus GOLD Module,750,,,
5666000,Nguồn Seasonic,,Seasonic,Seasonic P-1050 (1050XP) 80Plus Platinum,1050,,,
6666000,Nguồn Seasonic,,Seasonic,Seasonic P-1200 (1200XP) 80Plus Platinum,1200,,,
4690000,Nguồn Seasonic,,Seasonic,Seasonic P-860XP2 Active PFC F3 - 80Plus Platinum Module,860,,,
1550000,Nguồn Seasonic,,Seasonic,Seasonic S12II 520W Active PFC FDB fan F3 - 80Plus Bronze,520,,,
1750000,Nguồn Seasonic,,Seasonic,Seasonic S12II 620W Active PFC FDB fan F3 - 80Plus Bronze,620,,,
4690000,Nguồn Seasonic,,Seasonic,Seasonic X-1050XM2 Active PFC - 80Plus GOLD,1050,,,
