Price,Catergory,Brand,Name,Type,Code,GB,Watt
18990000,VGA,Gigabyte,Gigabyte GV-980 Ti XTREME W-6GD GTX 980 Ti WTF Xtreme 6GB GDDR5,NVIDIA,980 Ti,6,800
18990000,VGA,Gigabyte,Gigabyte GV-980 Ti XTREME W-6GD GTX 980 Ti WTF Xtreme 6GB GDDR5,NVIDIA,980 Ti,6,800
19090000,VGA,Asus,ASUS GTX 1080-8G,NVIDIA,1080,8,800
19090000,VGA,Asus,ASUS GTX 1080-8G,NVIDIA,1080,8,800
19390000,VGA,Gigabyte,Gigabyte GV-980 Ti XTREME W-6GD,NVIDIA,980 Ti,6,800
19400000,VGA,Zotac,ZOTAC GTX 1080 AMP Extreme,NVIDIA,1080,8,800
19400000,VGA,Asus,ASUS ROG Strix GeForce GTX 1080 A8G,NVIDIA,1080,8,800
19400000,VGA,Asus,ASUS ROG Strix GeForce GTX 1080 A8G,NVIDIA,1080,8,800
19400000,VGA,Zotac,ZOTAC GTX 1080 AMP Extreme,NVIDIA,1080,8,800
19490000,VGA,MSI,MSI GeForce GTX 1080 8GD5X Founder Edi Tion,NVIDIA,1080,8,800
19490000,VGA,Gigabyte,Gigabyte GeForce GTX 1080 Founder Edi Tion (GV-N1080D5X-8GD-B),NVIDIA,1080,8,800
19490000,VGA,Gigabyte,Gigabyte GeForce GTX 1080 Founder Edi Tion (GV-N1080D5X-8GD-B),NVIDIA,1080,8,800
19490000,VGA,MSI,MSI GeForce GTX 1080 8GD5X Founder Edi Tion,NVIDIA,1080,8,800
19500000,VGA,Gigabyte,Gigabyte GTX 1080 Xtreme Gaming (GV-N1080 XTREME-8GD-PP),NVIDIA,1080,8,800
19500000,VGA,Gigabyte,Gigabyte GTX 1080 Xtreme Gaming (GV-N1080 XTREME-8GD-PP),NVIDIA,1080,8,800
19890000,VGA,Asus,ASUS ROG STRIX-GTX 1080-O8G-GAMING ,NVIDIA,1080,8,800
19890000,VGA,Asus,ASUS ROG STRIX-GTX 1080-O8G-GAMING ,NVIDIA,1080,8,800
