Price,Catergory,Brand,Name,1,2,3,4
1250000,Case,Aerocool,AeroCool AERO-800 White ,,,,
930000,Case,Anphat,APC Benchtable PC001,,,,
1799000,Case,Anphat,APC Benchtable PC002,,,,
3500000,Case,Anphat,APC Benchtable PC003 - G1 Gaming,,,,
2250000,Case,Corsair,Corsair Obsidian Series 250D Mini ITX,,,,
990000,Case,Cougar,Cougar 67M5 Volant,,,,
890000,Case,Cougar,Cougar Fractal Design Core 1000,,,,
800000,Case,Cougar,Cougar MX300,,,,
1290000,Case,Cougar,Cougar MX500,,,,
1190000,Case,Cougar,Cougar Pioneer 5G01,,,,
4000000,Case,Anphat,ERAGON template glass aluminum edition,,,,
280000,Case,Golden Field,Golden Field 880B,,,,
495000,Case,Golden Field,Goldenfield 6006B,,,,
1390000,Case,MAGICWARE,MAGICWARE Mid Tower mATX Aluminum nhôm xước,,,,
480000,Case,SAMA, SAMA STORM 3,,,,
4990000,Case,Alyibai,Alyibai F6 Lục giác phiên bản Limited,,,,
6990000,Case,Alyibai,Alyibai KF1 Limited,,,,
1550000,Case,Antec,ANTEC GX1200,,,,
1249000,Case,Antec,Antec P50 Window ILLUSION,,,,
1700000,Case,Antec,Antec P9 Window,,,,
7350000,Case,Antec,Antec S10 Glass ATX Full Tower,,,,
0,Case,Corsair,Carbide Series 300R,,,,
39990000,Case,Canon,CaseLabs MAGNUM TH10A - Customizable - XL - ATX,,,,
5990000,Case,Anphat,CHÙA MỘT CỘT - One Pillar Pagoda PC VietNam,,,,
2650000,Case,Corsair,Corsair 400C Black,,,,
2650000,Case,Corsair,Corsair 400C white,,,,
4500000,Case,Corsair,Corsair 570X RGB template glass,,,,
3450000,Case,Corsair,Corsair 600C,,,,
5900000,Case,Corsair,Corsair Obsidian Series 800D Full Tower ATX Gaming Case,,,,
4900000,Case,DeepCool,Deepcool CAPTAIN GENOME BLACK RED,,,,
1240000,Case,DeepCool,Deepcool DUKASE Black V2,,,,
1240000,Case,DeepCool,Deepcool DUKASE White V2,,,,
8799000,Case,INWIN,In-Win 909 Black Edition - Aluminium &amp;amp;amp;amp; Tempered Glass ,,,,
2499000,Case,INWIN,INWIN 303 Tempered Glass Black,,,,
2499000,Case,INWIN,INWIN 303 Tempered Glass White,,,,
3450000,Case,NZXT,NZXT Concepts Manta Black,,,,
3450000,Case,NZXT,NZXT Concepts Manta Black- Red,,,,
3450000,Case,NZXT,NZXT Concepts Manta White,,,,
3190000,Case,NZXT,NZXT P530 White,,,,
2650000,Case,NZXT,NZXT S340 – Designed by Razer,,,,
1490000,Case,RAIDMAX,RAIDMAX ATOMIC for HTPC / ITX Form / wVGA ,,,,
318000,Case,SAMA,SAMA A34 - ATX / Micro ATX / Mini ITX,,,,
1450000,Case,SAMA,SAMA ARES,,,,
2249000,Case,SAMA,SAMA Ark ,,,,
800000,Case,SAMA,SAMA BLACK GOLD,,,,
1450000,Case,SAMA,SAMA BLACK WIDOW,,,,
500000,Case,SAMA,SAMA CONQUEST 1 BlACK,,,,
480000,Case,SAMA,SAMA E-Sport F2 Black - Green,,,,
480000,Case,SAMA,SAMA E-Sport F2 Black - Orange,,,,
480000,Case,SAMA,SAMA E-Sport F2 Black - Red,,,,
