Price,Catergory,Brand,Name,1,2,3,4
4350000,HDD,Western Digital,Ổ cứng Western Digital Purple 4TB 64MB Cache,4096,,,
1450000,HDD,Western Digital,Ổ cứng Western Digital Purple 500GB 64MB Cache,500,,,
7490000,HDD,Western Digital,Ổ Cứng Western Digital Purple 6TB 64MB Cache,6144,,,
1650000,HDD,Western Digital,Ổ cứng Western Digital Red 1TB 64MB Cache,1024,,,
2450000,HDD,Western Digital,Ổ cứng Western Digital Red 2TB 64MB Cache,2048,,,
3090000,HDD,Western Digital,Ổ cứng Western Digital Red 3TB 64MB Cache,3072,,,
5790000,HDD,Western Digital,Ổ cứng Western Digital Red 5TB 64MB Cache,5120,,,
6990000,HDD,Western Digital,Ổ cứng Western Digital Red 6TB 64MB Cache,6144,,,
2450000,HDD,Seagate,Seagate Barracuda 3TB - 7200rpm - 64MB cache SATA - ST3000DM001,3072,,,
0,HDD,Western Digital,Western Digital Caviar Blue 320 16MB Cache,320,,,
