Price,Catergory,Brand,Name,1,2,3,4
2169000,Bộ tản nhiệt nước All in One,,Tản nhiệt nước NZXT Kraken X31,1,,,
2759000,Bộ tản nhiệt nước All in One,NZXT,Tản nhiệt nước NZXT Kraken X41,1,,,
3549000,Bộ tản nhiệt nước All in One,NZXT,Tản nhiệt nước NZXT Kraken X61,1,,,
2150000,Bộ tản nhiệt nước Custom,An Phat PC Modding,Tản nhiệt nước custom APC Easy WaterCooling KIT 1,1,,,
2350000,Bộ tản nhiệt nước Custom,An Phat PC Modding,Tản nhiệt nước custom APC Easy WaterCooling KIT 2,1,,,
2650000,Bộ tản nhiệt nước Custom,An Phat PC Modding,Tản nhiệt nước custom APC Easy WaterCooling KIT 3,1,,,
3350000,Bộ tản nhiệt nước Custom,An Phat PC Modding,Tản nhiệt nước custom APC Pro WaterCooling KIT,1,,,
1550000,Bộ tản nhiệt nước Custom,An Phat PC Modding,Tản nhiệt nước custom APC Starter WaterCooling KIT,1,,,
4250000,Bộ tản nhiệt nước Custom,An Phat PC Modding,Tản nhiệt nước custom APC Ultimate WaterCooling KIT,1,,,
4000000,Bộ tản nhiệt nước Custom,An Phat PC Modding,Tản nhiệt nước custom ống cứng cho cpu - APC PRO 1,1,,,
3499000,Bộ tản nhiệt nước Custom,Bykski,Tản nhiệt nước custom Hartube Bykski BY-HTS BLUE,1,,,
3499000,Bộ tản nhiệt nước Custom,Bykski,Tản nhiệt nước custom Hartube Bykski BY-HTS GREEN,1,,,
3499000,Bộ tản nhiệt nước Custom,Bykski,Tản nhiệt nước custom Hartube Bykski BY-HTS RED,1,,,
3499000,Bộ tản nhiệt nước Custom,Bykski,Tản nhiệt nước custom Hartube Bykski BY-HTS WHITE,1,,,
5790000,Tản nhiệt nước - Watercooling,EK,Tản nhiệt nước Deepcool Maelstrom 240T,1,,,
