Price,Catergory,Brand,Name,Chipset,Socket,DDR type,M2
3392000,Mainboard Intel,Asrock,ASRock Z97 Extreme6,Z97,1150,DDR3,
4320000,Mainboard Intel,Asrock,ASRock Z97 OC Formula,Z97,1150,DDR3,
4750000,Mainboard Intel,Asrock,ASRock Z97 Pro4,Z97,1150,DDR3,
2990000,Mainboard Intel,Asrock,ASRock Z97M Anniversary,Z97,1150,DDR3,
4100000,Mainboard Intel,Asus,ASUS B150 PRO GAMING D3,B150,1151,DDR4,
4100000,Mainboard Intel,Asus,ASUS B150 PRO GAMING/AURA,B150,1151,DDR4,
5600000,Mainboard Intel,Asus,ASUS B150-PLUS,B150,1151,DDR4,
5539000,Mainboard Intel,Asus,ASUS B150-PLUS D3,B150,1151,DDR4,
2990000,Mainboard Intel,Asus,ASUS B150I PRO GAMING/AURA - RGB LED,B150,1151,DDR4,
2350000,Mainboard Intel,Asus,ASUS B150M-A,B150,1151,DDR4,
2890000,Mainboard Intel,Asus,Asus B150M-A/M2,B150,1151,DDR4,
3450000,Mainboard Intel,Asus,Asus B150M-K,B150,1151,DDR4,
2430000,Mainboard Intel,Asus,Asus B75M-A,B75,1155,DDR3,
2220000,Mainboard Intel,Asus,ASUS B75M-PLUS,B75,1155,DDR3,
3090000,Mainboard Intel,Asus,ASUS B85 VANGUARD,B85,1150,DDR3,
2270000,Mainboard Intel,Asus,Asus B85-Plus,B85,1150,DDR3,
2250000,Mainboard Intel,Asus,Asus B85-Pro Gamer Gaming,B85,1150,DDR3,
1990000,Mainboard Intel,Asus,ASUS B85M-E,B85,1150,DDR3,
0,Mainboard Intel,Asus,ASUS B85M-F PLUS,B85,1150,DDR3,
0,Mainboard Intel,Asus,ASUS B85M-G,B85,1150,DDR3,
2550000,Mainboard Intel,Asus,ASUS B85M-GAMER Gaming,B85,1150,DDR3,
2650000,Mainboard Intel,Asus,ASUS GRYPHON Z87,Z87,1150,DDR3,
2360000,Mainboard Intel,Asus,ASUS H110M PLUS DDR3,H110,1151,DDR4,
2290000,Mainboard Intel,Asus,ASUS H110M-A,H110,1151,DDR4,
1690000,Mainboard Intel,Asus,ASUS H110M-D,H110,1151,DDR4,
1750000,Mainboard Intel,Asus,ASUS H110M-e,H110,1151,DDR4,
1730000,Mainboard Intel,Asus,ASUS H170 PLUS D3,H170,1151,DDR4,
3650000,Mainboard Intel,Asus,ASUS H170 PRO,H170,1151,DDR4,
4900000,Mainboard Intel,Asus,ASUS H170 PRO GAMING,H170,1151,DDR4,
2050000,Mainboard Intel,Asus,ASUS H170M E D3,H170,1151,DDR4,
1795000,Mainboard Intel,Asus,ASUS H61M-A,H61,1155,DDR3,
1650000,Mainboard Intel,Asus,ASUS H61M-E,H61,1155,DDR3,
1650000,Mainboard Intel,Asus,ASUS H61M-K,H61,1155,DDR3,
2999000,Mainboard Intel,Asus,ASUS H81-GAMER,H81,1150,DDR3,
3350000,Mainboard Intel,Asus,Asus H81-PLUS,H81,1150,DDR3,
3630000,Mainboard Intel,Asus,ASUS H81M-C,H81,1150,DDR3,
2780000,Mainboard Intel,Asus,ASUS H81M-D,H81,1150,DDR3,
1490000,Mainboard Intel,Asus,ASUS H81M-E,H81,1150,DDR3,
1300000,Mainboard Intel,Asus,ASUS H81M-K (C/SI),H81,1150,DDR3,
1189000,Mainboard Intel,Asus,ASUS H81M-K(C/SI)-Win 8 bản quyền,H81,1150,DDR3,
2190000,Mainboard Intel,Asus,ASUS H81M-P,H81,1150,DDR3,
1890000,Mainboard Intel,Asus,ASUS H81M-V PLUS (TRAY),H81,1150,DDR3,
1550000,Mainboard Intel,Asus,ASUS H87M-PLUS,H87,1150,DDR3,
1385000,Mainboard Intel,Asus,ASUS H87M-PRO,H87,1150,DDR3,
1340000,Mainboard Intel,Asus,ASUS H97 Pro Gamer,H97,1150,DDR3,
1290000,Mainboard Intel,Asus,ASUS H97-PLUS,H97,1150,DDR3,
1890000,Mainboard Intel,Asus,ASUS H97-PRO,H97,1150,DDR3,
1250000,Mainboard Intel,Asus,ASUS H97M-E,H97,1150,DDR3,
1550000,Mainboard Intel,Asus,Asus Maximus V Formula Z77,Z77,1155,DDR3,
3299000,Mainboard Intel,Asus,ASUS Maximus VI Gene Z87,Z87,1150,DDR3,
3490000,Mainboard Intel,Asus,ASUS Maximus VI Hero Z87,Z87,1150,DDR3,
3490000,Mainboard Intel,Asus,Asus Maximus VI Impact Z87,Z87,1150,DDR3,
2895000,Mainboard Intel,Asus,ASUS Maximus VII Formula / Watch Dog Z97,Z97,1150,DDR3,
3290000,Mainboard Intel,Asus,ASUS Maximus VII Gene Z97,Z97,1150,DDR3,
2890000,Mainboard Intel,Asus,ASUS Maximus VII Hero Z97,Z97,1150,DDR3,
0,Mainboard Intel,Asus,ASUS Maximus VIII Extreme Z170,Z170,1151,DDR4,
0,Mainboard Intel,Asus,ASUS Maximus VIII Formula Z170,Z170,1151,DDR4,
0,Mainboard Intel,Asus,ASUS MAXIMUS VIII GENE Z170,Z170,1151,DDR4,
0,Mainboard Intel,Asus,ASUS MAXIMUS VIII HERO Z170,Z170,1151,DDR4,
8650000,Mainboard Intel,Asus,ASUS MAXIMUS VIII IMPACT Z170,Z170,1151,DDR4,
5700000,Mainboard Intel,Asus,ASUS MAXIMUS VIII RANGER Z170,Z170,1151,DDR4,
7150000,Mainboard Intel,Asus,ASUS P8Z77 WS (Workstation),Z77,1155,DDR3,
13590000,Mainboard Intel,Asus,Asus P9X79 LE,X79,2011,DDR3,
10490000,Mainboard Intel,Asus,ASUS Q87M-E,Q87,1150,DDR3,
6150000,Mainboard Intel,Asus,Asus Rampage IV Gene X79,X79,2011,DDR3,
6650000,Mainboard Intel,Asus,ASUS ROG MAXIMUS IX FORMULA Z270,Z270,1151,DDR4,
6650000,Mainboard Intel,Asus,ASUS ROG MAXIMUS IX HERO Z270,Z270,1151,DDR4,
5690000,Mainboard Intel,Asus,ASUS ROG STRIX Z270H GAMING,Z270,1151,DDR4,
5110000,Mainboard Intel,Asus,ASUS Sabertooth Z97 Mark 2,Z97,1150,DDR3,
0,Mainboard Intel,Asus,ASUS Sabertooth Z97 Mark I,Z97,1150,DDR3,
5630000,Mainboard Intel,Asus,ASUS Z10PE-D16 WS (DUAL CPU WORKSTATION),Z10,Dual 2011v3,DDR3,
7590000,Mainboard Intel,Asus,ASUS Z170 DELUXE,Z170,1151,DDR4,
5590000,Mainboard Intel,Asus,ASUS Z170 PRO GAMING,Z170,1151,DDR4,
4990000,Mainboard Intel,Asus,ASUS Z170-K,Z170,1151,DDR4,
3390000,Mainboard Intel,Asus,ASUS Z170M-PLUS,Z170,1151,DDR4,
0,Mainboard Intel,Asus,ASUS Z87-C,Z87,1150,DDR3,
3890000,Mainboard Intel,Asus,ASUS Z87-DELUXE,Z87,1150,DDR3,
0,Mainboard Intel,Asus,ASUS Z87-PLUS,Z87,1150,DDR3,
11500000,Mainboard Intel,Asus,ASUS Z87-PRO,Z87,1150,DDR3,
11890000,Mainboard Intel,Asus,ASUS Z87M-PLUS,Z87,1150,DDR3,
7790000,Mainboard Intel,Asus,Asus Z97 Maximus VII Ranger,Z97,1150,DDR3,
9450000,Mainboard Intel,Asus,ASUS Z97-DELUXE,Z97,1150,DDR3,
4590000,Mainboard Intel,Asus,ASUS Z97-DELUXE(NFC &amp;amp;amp;amp; WLC),Z97,1150,DDR3,
14790000,Mainboard Intel,Asus,ASUS Z97-K/CSM LGA 1150 Intel Z97 ,Z97,1150,DDR3,
5050000,Mainboard Intel,Asus,ASUS Z97-PRO,Z97,1150,DDR3,
5790000,Mainboard Intel,Asus,ASUS Z97I-PLUS,Z97,1150,DDR3,
6790000,Mainboard Intel,Asus,ASUS Z97M-PLUS,Z97,1150,DDR3,
10450000,Mainboard Intel,Asus,ASUS Z9PE-D8 WS (DUAL CPU WORKSTATION),Z9,Dual 2011,DDR3,
16990000,Mainboard Intel,Foxconn,Foxconn H61MD-V,H61,1155,DDR3,
8450000,Mainboard Intel,Foxconn,Foxconn H81 Strike,H81,1150,DDR3,
13350000,Mainboard Intel,Foxconn,Foxconn H81MD,H81,1150,DDR3,
8490000,Mainboard Intel,Foxconn,Foxconn H97M Plus,H97,1150,DDR3,
4370000,Mainboard Intel,Gigabyte,Gigabyte B85M-D3V,B85,1150,DDR3,
3830000,Mainboard Intel,Gigabyte,Gigabyte B85M-D3V-A,B85,1150,DDR3,
3750000,Mainboard Intel,Gigabyte,Gigabyte B85M-HD3-A,B85,1150,DDR3,
4250000,Mainboard Intel,Gigabyte,Gigabyte GA B75-D3V,B75,1155,DDR3,
7550000,Mainboard Intel,Gigabyte,Gigabyte GA B75M-D2V,B75,1155,DDR3,
5200000,Mainboard Intel,Gigabyte,Gigabyte GA B75M-D3H,B75,1155,DDR3,
4850000,Mainboard Intel,Gigabyte,Gigabyte GA B75M-D3V,B75,1155,DDR3,
3750000,Mainboard Intel,Gigabyte,Gigabyte GA B75M-HD3,B75,1155,DDR3,
5350000,Mainboard Intel,Gigabyte,Gigabyte GA B85M-D3H,B85,1150,DDR3,
7490000,Mainboard Intel,Gigabyte,Gigabyte GA B85M-Gaming 3,B85,1150,DDR3,
