label,total,cpu,heatsink,mainboard,ram,ssd,hdd,vga,psu,case,other,khuyen mai
Work,5000000,0.3490064433,0.09610110329,0.1820582023,0.1595834153,,0.08611799829,0.2158983703,0.07557174329,0.05156109429,,
Work,10000000,0.3490064433,0.09610110329,0.1820582023,0.1595834153,,0.08611799829,0.2158983703,0.07557174329,0.05156109429,,
Work,15000000,0.322019147,0.069113807,0.155070906,0.132596119,0,0.07,0.188911074,0.048584447,0.024573798,,
Work (Adobe AE/Premiere)/Game,19533000,0.322019147,0.069113807,0.155070906,0.132596119,0,0.059130702,0.188911074,0.048584447,0.024573798,,
Work (Render C4D),27842000,0.225917678,0.061022915,0.108792472,0.093024926,0.114575102,0.041484089,0.240284462,0.034085195,0.08081316,0,
Work render,33894000,0.278810409,0.050126866,0.161975571,0.076414705,0.094116953,0.034076828,0.197380067,0.040715171,0.066383431,0,
